dist,algo,ARI,Hausdorff,Distortion,Failure
Gaussian,KMeans,0.9942748208306358,0.005403357439994438,179230.93045597905,0.0
Gaussian,Balanced,0.9942748208306358,0.005136967492878936,179230.9240332616,0.0
Pareto,KMeans,0.0,5427.921778994109,85577690.43832949,1.0
Pareto,Balanced,0.019298548261716942,10.129380542896614,113464045.92084639,1.0
Gaussian,KMeans,0.9950283615490826,0.004704575243026423,179725.4248973437,0.0
Gaussian,Balanced,0.9950283615490826,0.004782746015459199,179725.4242144569,0.0
Pareto,KMeans,0.0,8279.386638438335,152863546.23344177,1.0
Pareto,Balanced,0.020591521334901268,11.345429536494882,219456138.47772083,1.0
Gaussian,KMeans,0.9948953630342724,0.0050423175120811025,179538.71193008436,0.0
Gaussian,Balanced,0.9948953630342724,0.0050423175120811025,179538.7119300844,0.0
Pareto,KMeans,0.0,143718.19595353797,333446868.88644797,1.0
Pareto,Balanced,0.016942321552754765,27.444057190260725,20980909907.401276,1.0
Gaussian,KMeans,0.994806702296066,0.00597386441820882,179835.65089336003,0.0
Gaussian,Balanced,0.994806702296066,0.005914716740417619,179835.6504863631,0.0
Pareto,KMeans,0.0,38858.698629872495,286520102.1683277,1.0
Pareto,Balanced,0.012233324938781242,15.867491065705101,1793871825.657002,1.0
