dist_type,n,rep,gamma,min_size,ARI,Hausdorff,Distortion,SSE,n_iter,converged
gaussian,90000,7,9.936447578151411e-05,8,0.9999111120987655,0.009815842024473567,2.0035006062471825,180315.05456224643,3,True
gaussian,90000,7,0.0001267507216590267,11,0.9999111120987655,0.009815842024473567,2.0035006062471825,180315.05456224643,3,True
gaussian,90000,7,0.0014459170896975653,130,0.9999111120987655,0.009815842024473567,2.0035006062471825,180315.05456224643,3,True
gaussian,90000,7,0.01649439311204574,1484,0.9999111120987655,0.009815842024473567,2.0035006062471825,180315.05456224643,3,True
gaussian,90000,7,0.1881608607251529,16934,0.9999111120987655,0.009815842024473567,2.0035006062471825,180315.05456224643,3,True
gaussian,90000,8,1.1384905236320241e-05,1,0.9997777876544033,0.007507706849598787,2.0037568084957966,180338.11276462168,3,True
gaussian,90000,8,2.041999954579265e-05,1,0.9997777876544033,0.007507706849598787,2.0037568084957966,180338.11276462168,3,True
gaussian,90000,8,3.752787433051549e-05,3,0.9997777876544033,0.007507706849598787,2.0037568084957966,180338.11276462168,3,True
gaussian,90000,8,6.896872591053209e-05,6,0.9997777876544033,0.007507706849598787,2.0037568084957966,180338.11276462168,3,True
gaussian,90000,8,9.936447578151411e-05,8,0.9997777876544033,0.007507706849598787,2.0037568084957966,180338.11276462168,3,True
gaussian,90000,8,0.0001267507216590267,11,0.9997777876544033,0.007507706849598787,2.0037568084957966,180338.11276462168,3,True
gaussian,90000,8,0.0014459170896975653,130,0.9997777876544033,0.007507706849598787,2.0037568084957966,180338.11276462168,3,True
gaussian,90000,8,0.01649439311204574,1484,0.9997777876544033,0.007507706849598787,2.0037568084957966,180338.11276462168,3,True
gaussian,90000,8,0.1881608607251529,16934,0.9997777876544033,0.007507706849598787,2.0037568084957966,180338.11276462168,3,True
gaussian,90000,9,1.1384905236320241e-05,1,0.9999111120987655,0.008096777743843186,2.0103063857342667,180927.574716084,3,True
gaussian,90000,9,2.041999954579265e-05,1,0.9999111120987655,0.008096777743843186,2.0103063857342667,180927.574716084,3,True
gaussian,90000,9,3.752787433051549e-05,3,0.9999111120987655,0.008096777743843186,2.0103063857342667,180927.574716084,3,True
gaussian,90000,9,6.896872591053209e-05,6,0.9999111120987655,0.008096777743843186,2.0103063857342667,180927.574716084,3,True
gaussian,90000,9,9.936447578151411e-05,8,0.9999111120987655,0.008096777743843186,2.0103063857342667,180927.574716084,3,True
gaussian,90000,9,0.0001267507216590267,11,0.9999111120987655,0.008096777743843186,2.0103063857342667,180927.574716084,3,True
gaussian,90000,9,0.0014459170896975653,130,0.9999111120987655,0.008096777743843186,2.0103063857342667,180927.574716084,3,True
gaussian,90000,9,0.01649439311204574,1484,0.9999111120987655,0.008096777743843186,2.0103063857342667,180927.574716084,3,True
gaussian,90000,9,0.1881608607251529,16934,0.9999111120987655,0.008096777743843186,2.0103063857342667,180927.574716084,3,True
gaussian,90000,10,1.1384905236320241e-05,1,0.9997333481482799,0.007673518466824314,2.003026135500587,180272.35219505284,3,True
gaussian,90000,10,2.041999954579265e-05,1,0.9997333481482799,0.007673518466824314,2.003026135500587,180272.35219505284,3,True
gaussian,90000,10,3.752787433051549e-05,3,0.9997333481482799,0.007673518466824314,2.003026135500587,180272.35219505284,3,True
gaussian,90000,10,6.896872591053209e-05,6,0.9997333481482799,0.007673518466824314,2.003026135500587,180272.35219505284,3,True
gaussian,90000,10,9.936447578151411e-05,8,0.9997333481482799,0.007673518466824314,2.003026135500587,180272.35219505284,3,True
gaussian,90000,10,0.0001267507216590267,11,0.9997333481482799,0.007673518466824314,2.003026135500587,180272.35219505284,3,True
gaussian,90000,10,0.0014459170896975653,130,0.9997333481482799,0.007673518466824314,2.003026135500587,180272.35219505284,3,True
gaussian,90000,10,0.01649439311204574,1484,0.9997333481482799,0.007673518466824314,2.003026135500587,180272.35219505284,3,True
gaussian,90000,10,0.1881608607251529,16934,0.9997333481482799,0.007673518466824314,2.003026135500587,180272.35219505284,3,True
gaussian,90000,11,1.1384905236320241e-05,1,0.9999111120987655,0.007125662592531477,1.99243063716374,179318.7573447366,3,True
gaussian,90000,11,2.041999954579265e-05,1,0.9999111120987655,0.007125662592531477,1.99243063716374,179318.7573447366,3,True
gaussian,90000,11,3.752787433051549e-05,3,0.9999111120987655,0.007125662592531477,1.99243063716374,179318.7573447366,3,True
gaussian,90000,11,6.896872591053209e-05,6,0.9999111120987655,0.007125662592531477,1.99243063716374,179318.7573447366,3,True
gaussian,90000,11,9.936447578151411e-05,8,0.9999111120987655,0.007125662592531477,1.99243063716374,179318.7573447366,3,True
gaussian,90000,11,0.0001267507216590267,11,0.9999111120987655,0.007125662592531477,1.99243063716374,179318.7573447366,3,True
gaussian,90000,11,0.0014459170896975653,130,0.9999111120987655,0.007125662592531477,1.99243063716374,179318.7573447366,3,True
gaussian,90000,11,0.01649439311204574,1484,0.9999111120987655,0.007125662592531477,1.99243063716374,179318.7573447366,3,True
gaussian,90000,11,0.1881608607251529,16934,0.9999111120987655,0.007125662592531477,1.99243063716374,179318.7573447366,3,True
gaussian,90000,12,1.1384905236320241e-05,1,0.9998666696296461,0.013575647369851562,2.0059133725735547,180532.20353161992,3,True
gaussian,90000,12,2.041999954579265e-05,1,0.9998666696296461,0.013575647369851562,2.0059133725735547,180532.20353161992,3,True
gaussian,90000,12,3.752787433051549e-05,3,0.9998666696296461,0.013575647369851562,2.0059133725735547,180532.20353161992,3,True
gaussian,90000,12,6.896872591053209e-05,6,0.9998666696296461,0.013575647369851562,2.0059133725735547,180532.20353161992,3,True
gaussian,90000,12,9.936447578151411e-05,8,0.9998666696296461,0.013575647369851562,2.0059133725735547,180532.20353161992,3,True
gaussian,90000,12,0.0001267507216590267,11,0.9998666696296461,0.013575647369851562,2.0059133725735547,180532.20353161992,3,True
gaussian,90000,12,0.0014459170896975653,130,0.9998666696296461,0.013575647369851562,2.0059133725735547,180532.20353161992,3,True
gaussian,90000,12,0.01649439311204574,1484,0.9998666696296461,0.013575647369851562,2.0059133725735547,180532.20353161992,3,True
gaussian,90000,12,0.1881608607251529,16934,0.9998666696296461,0.013575647369851562,2.0059133725735547,180532.20353161992,3,True
gaussian,90000,13,1.1384905236320241e-05,1,0.999866669629646,0.0062595767587871045,1.9967833381943696,179710.50043749326,3,True
gaussian,90000,13,2.041999954579265e-05,1,0.999866669629646,0.0062595767587871045,1.9967833381943696,179710.50043749326,3,True
gaussian,90000,13,3.752787433051549e-05,3,0.999866669629646,0.0062595767587871045,1.9967833381943696,179710.50043749326,3,True
gaussian,90000,13,6.896872591053209e-05,6,0.999866669629646,0.0062595767587871045,1.9967833381943696,179710.50043749326,3,True
gaussian,90000,13,9.936447578151411e-05,8,0.999866669629646,0.0062595767587871045,1.9967833381943696,179710.50043749326,3,True
gaussian,90000,13,0.0001267507216590267,11,0.999866669629646,0.0062595767587871045,1.9967833381943696,179710.50043749326,3,True
gaussian,90000,13,0.0014459170896975653,130,0.999866669629646,0.0062595767587871045,1.9967833381943696,179710.50043749326,3,True
gaussian,90000,13,0.01649439311204574,1484,0.999866669629646,0.0062595767587871045,1.9967833381943696,179710.50043749326,3,True
gaussian,90000,13,0.1881608607251529,16934,0.999866669629646,0.0062595767587871045,1.9967833381943696,179710.50043749326,3,True
gaussian,90000,14,1.1384905236320241e-05,1,0.9997777876544033,0.0076112847149917,2.004482938193697,180403.4644374327,5,True
gaussian,90000,14,2.041999954579265e-05,1,0.9997777876544033,0.0076112847149917,2.004482938193697,180403.4644374327,5,True
gaussian,90000,14,3.752787433051549e-05,3,0.9997777876544033,0.0076112847149917,2.004482938193697,180403.4644374327,5,True
gaussian,90000,14,6.896872591053209e-05,6,0.9997777876544033,0.0076112847149917,2.004482938193697,180403.4644374327,5,True
gaussian,90000,14,9.936447578151411e-05,8,0.9997777876544033,0.0076112847149917,2.004482938193697,180403.4644374327,5,True
gaussian,90000,14,0.0001267507216590267,11,0.9997777876544033,0.0076112847149917,2.004482938193697,180403.4644374327,5,True
